,Central California Coastal,Southern California Coastal,Northern Mojave-Mono Lake,San Francisco Bay,Southern Mojave-Salton Sea,Sacramento,North Lahontan,Upper Columbia,Puget Sound,Yakima,Lower Green,Lower Snake,Middle Snake,Black Rock Desert-Humboldt,Colorado Headwaters,San Joaquin,Tulare-Buena Vista Lakes,Lower Gila,Gunnison,Central Nevada Desert Basins,Central Lahontan,Great Salt Lake,Upper Colorado-Dirty Devil,Upper Colorado-Dolores,White-Yampa,San Juan,Great Divide-Upper Green,Lower Colorado,Salt,Middle Gila,Sonora,Little Colorado,Lower Colorado-Lake Mead,Upper Gila,Oregon-Washington Coastal,Bear,Escalante Desert-Sevier Lake,Kootenai-Pend Oreille-Spokane,Upper Snake,Oregon Closed Basins,Middle Columbia,Klamath-Northern California Coastal,Lower Columbia,Willamette
Central Lahontan,0.5034214986600469,0.18051434216063855,0.3947881053249314,0.8075271381591236,0.1691598128883305,0.8005446579513964,0.7784196323204613,0.06170511434820294,0.010774345369877036,0.10413939383179785,0.3836658847745077,0.2760161741444488,0.503391303752861,0.827064874612762,0.3454368579988203,0.8366039538113624,0.49081805282266483,0.11451201907926482,0.24845668484003539,0.7122567653519456,1.0,0.5558102589086927,0.3142616526514018,0.28284528965513295,0.36322019740896777,0.18244729723561223,0.36303644652588446,0.16534962604655676,0.14491199818049777,0.01763256816800582,-0.04859879739504406,0.1650788648584238,0.34372879605599965,0.020762924357525553,0.20690750162705018,0.4359932745669414,0.40300189319228835,0.16930423903142866,0.4782646748605384,0.4195033441017725,0.22483566080601228,0.50017706987458,0.07073451190505511,0.20662790629615596
Great Salt Lake,0.4490792183431909,0.32465032647097297,0.5137766818529123,0.42751670794493896,0.27830828878135233,0.4492528911631292,0.4908006490837988,0.06762946020075518,0.0161506688869339,0.08822404548303212,0.7400542291720174,0.2599373674482376,0.456893932865131,0.6621719522969867,0.4862430221755159,0.49413397433374806,0.5137544162376099,0.14783058264416904,0.35761192475741843,0.7879403720598314,0.5558102589086927,1.0,0.4629682680639347,0.4086695892761495,0.6339099676813245,0.2573668919463896,0.8029286881963176,0.25301824852356675,0.17615465239313607,0.03515451970748915,-0.011995675092783572,0.18634886960971678,0.5235966219613857,0.028909744435176816,0.18018159527199468,0.8693805222108163,0.7520758065971657,0.17179914847872282,0.632890543275968,0.33890583423861004,0.18462868186812104,0.3180280776690294,0.060630862874439674,0.17263198161145663
Upper Colorado-Dirty Devil,0.41061974550781144,0.5421190652159893,0.6578879852046625,0.2728048192943184,0.5738258980829494,0.23565812873583916,0.2778655591604728,-0.09541574306961713,-0.13019049429220483,-0.11087562807898842,0.729228053057856,0.07596153315602631,0.2097473086123696,0.31738980104185804,0.6860819668359157,0.3461865564337897,0.4904144610807001,0.4415896749132331,0.7352916210886704,0.5635353054637756,0.3142616526514018,0.4629682680639347,1.0,0.8832505283994178,0.623722844003186,0.7269013149916843,0.4095434982273849,0.5825293440220329,0.5525656609805526,0.3189608640742369,0.2382895517795462,0.6195367879194775,0.8572546834115182,0.32592423815908605,-0.017659189245141475,0.3305199607726128,0.7680072365867372,-0.005356404507987153,0.2806759063603635,0.1623220126877672,-0.012536299251187794,0.1375478804848373,-0.12528370115227544,-0.06279194048421488
Upper Colorado-Dolores,0.3141002771859805,0.41890563507239653,0.5154639912108436,0.22901683156022556,0.478701652753397,0.22471768368010164,0.2759279003938294,-0.0970462615236906,-0.12690288198112662,-0.10103596578061036,0.7121630322683568,0.034011657581913685,0.1603607071825255,0.28572070442688274,0.8267759361467707,0.2735926303565936,0.3784637340691549,0.44681881160147424,0.914495828325999,0.46455910171891385,0.28284528965513295,0.4086695892761495,0.8832505283994178,1.0,0.683354045378671,0.7906166522416089,0.4037114299436028,0.5242436766590267,0.5452327290819269,0.3394321075444638,0.26747506508923413,0.6293094876475157,0.7113432389136545,0.34687128970142694,-0.002564517108766333,0.3035128361641974,0.6620213259545676,-0.0238203945878238,0.2347436417904487,0.1493209733126816,0.0015801199828179963,0.1262695012779175,-0.10820256346775092,-0.03692708739331787
White-Yampa,0.2632410250258738,0.22294952843715615,0.381973713734406,0.24994478428559572,0.23499526604805235,0.28270199732468126,0.3519819603225771,0.019307163260359902,-0.026342269058261855,-0.01727283639012405,0.8559531510133426,0.12216965130617002,0.2656549792115749,0.42172927047136893,0.8457588294397317,0.2991637654232772,0.3201490548797007,0.19435177680309323,0.6426053737218024,0.49597139198943185,0.36322019740896777,0.6339099676813245,0.623722844003186,0.683354045378671,1.0,0.4195339275329379,0.7173792959845603,0.26778424356586383,0.25823908691149494,0.09751088874492196,0.04670413865039993,0.3033526096771579,0.4788400790215152,0.10198312321170967,0.07689050064549782,0.5458383249797714,0.6398509191567774,0.08711897126338544,0.39143305141418794,0.22454289977928818,0.07230292182353883,0.1747743893846491,-0.015316687168183175,0.07141793027039368
San Juan,0.27485022413223154,0.4956599267859521,0.4747046016891726,0.11657221549765774,0.5928329497940076,0.08837340090270965,0.13508733975194545,-0.17073858014907425,-0.18557974653416542,-0.1357320787350917,0.4439294487804016,-0.05351523943668892,0.034771562218025125,0.14848003804881646,0.5909715484865754,0.19443806464414692,0.3273137721242126,0.6683916040532617,0.7931562403941337,0.34852993174784563,0.18244729723561223,0.2573668919463896,0.7269013149916843,0.7906166522416089,0.4195339275329379,1.0,0.2276309681339076,0.7003655379596507,0.770984406733387,0.5463871408319406,0.45802817312040717,0.8853303866453106,0.6739153270430328,0.5659611591341783,-0.11154465997155892,0.19669079676388854,0.4790221929037982,-0.10259124513908369,0.14760605421058998,0.01867419119283534,-0.09576810769784859,0.007137419713126908,-0.15893522888293157,-0.12907302792084174
Great Divide-Upper Green,0.28921290504198244,0.1786868812064659,0.3297298244974978,0.23739866879726973,0.1385610359890356,0.2753269755586686,0.35115687621867747,0.09503479535444893,0.05722565207300962,0.10009166922887222,0.7522265721258724,0.26755112064075076,0.4015614112412726,0.4851796808927695,0.4899487848538883,0.3055028572167824,0.33947360323759407,0.0758785903900993,0.3535883886230865,0.5141206510803507,0.36303644652588446,0.8029286881963176,0.4095434982273849,0.4037114299436028,0.7173792959845603,0.2276309681339076,1.0,0.14465624889922124,0.09542036871035331,-0.0337129303173507,-0.06948414194135986,0.11645940166173689,0.36958264799770985,-0.038933083998402535,0.1419085009157972,0.8667219821390844,0.5954827559212463,0.20236944382043626,0.6315781090597619,0.2611691256439229,0.17723740329050405,0.17240827996406186,0.08336664228739424,0.1397215561502596
Lower Colorado,0.3904108487066856,0.7566261377396379,0.5662188719471418,0.14015919878931485,0.9073821719869757,0.027766313976748044,0.06439889781154674,-0.18589711782023535,-0.22361330921298483,-0.1516477418480687,0.3200029120211301,-0.07613082889053426,0.006792933182865813,0.12207948744522626,0.3937323828296938,0.23175577574242434,0.4149767464977839,0.8805581441580402,0.4912670014517479,0.36267983608195686,0.16534962604655676,0.25301824852356675,0.5825293440220329,0.5242436766590267,0.26778424356586383,0.7003655379596507,0.14465624889922124,1.0,0.8661971085323937,0.6534361170517787,0.5818879398964286,0.8107269319722176,0.7064043243037184,0.6121813235901413,-0.1486761510858801,0.15883987760035098,0.4329586277159849,-0.09821988900697995,0.10976664111324026,-0.04935548414152775,-0.11293462942344344,-0.07514511788561984,-0.1965763189810075,-0.15042004852142218
Salt,0.26863973902854343,0.5634936240834636,0.4236716270893227,0.10888672103071961,0.7161099679083751,0.03476932781658877,0.048487018893175124,-0.2220650849289823,-0.2518332325955202,-0.18418484355894849,0.2953618795658618,-0.08676266346875305,-0.00629044251751023,0.06728963414510769,0.3906625531205907,0.1936599536663452,0.30536918785898765,0.9209041901149609,0.5219407807856306,0.28179332553629916,0.14491199818049777,0.17615465239313607,0.5525656609805526,0.5452327290819269,0.25823908691149494,0.770984406733387,0.09542036871035331,0.8661971085323937,1.0,0.7951862725712586,0.6748269643062812,0.9444755284251207,0.5745265114873032,0.7826158492024283,-0.15162305867585518,0.09307501199237367,0.36366418761314173,-0.14468876206584846,0.05012172527217568,-0.04335993019320629,-0.12226220744607848,-0.028769053411915674,-0.22005097803908472,-0.16012308379577736
Middle Gila,0.07728827577561913,0.41519655203923544,0.19508057004446902,6.746481013623163e-06,0.5429583231734053,-0.06591378206063142,-0.09439905398272556,-0.25510551960370675,-0.2594721642177148,-0.2338351167758511,0.15220129960201226,-0.16587995538214242,-0.11866352670887502,-0.09295652746179574,0.22338706969409539,0.04000417111758489,0.08424318892230669,0.7987628482335081,0.34805388304401375,0.07415904566177113,0.01763256816800582,0.03515451970748915,0.3189608640742369,0.3394321075444638,0.09751088874492196,0.5463871408319406,-0.0337129303173507,0.6534361170517787,0.7951862725712586,1.0,0.9335457949849284,0.7049857826020898,0.3251442241240332,0.934792847258665,-0.24104229691383075,-0.03318405038132909,0.20437888807129043,-0.21168587668701486,-0.09535127685283513,-0.15397430603568377,-0.20775280991677056,-0.12645806068809917,-0.24519772975163628,-0.23217117257417813
